family,tf,pair,params,horizon_bars,N,MEAN,MEDIAN,WIN,STD,MEAN_LOW,MEAN_NORMAL,MEAN_STRESS,MEAN_EX99,MEAN_LONG,MEAN_SHORT,N_LONG,N_SHORT,YEARS_POS_NORMAL,N_YEARS
F3_trend_pullback,H1,GBPUSD,"{""fast"": 20, ""slow"": 100}",4,7020,-0.43152421652419787,-1.0499999999991072,0.48034188034188036,37.55676016614531,-1.431524216524198,-2.4315242165241977,-3.9315242165241977,-1.8632033386098537,-0.17561534058384512,-0.6851106069199984,3494,3526,1,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 20, ""slow"": 100}",12,7020,-0.9310968660968478,-0.2999999999997449,0.497008547008547,59.702961965136026,-1.9310968660968477,-2.9310968660968477,-4.431096866096848,-2.8491869333716915,-0.9959072696050244,-0.8668746454906178,3494,3526,0,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 20, ""slow"": 100}",24,7018,-1.0226417782843957,-0.4499999999996174,0.4981476204046737,81.14377178223991,-2.0226417782843957,-3.0226417782843957,-4.522641778284395,-3.552223981574765,-1.8587056128293178,-0.1946398184911832,3492,3526,3,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 20, ""slow"": 100}",48,7014,-0.8875962360992223,2.5999999999992696,0.5118334759053322,115.74648753632198,-1.8875962360992222,-2.8875962360992222,-4.387596236099222,-4.324182629987028,-3.193524355300854,1.396083995459714,3490,3524,3,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 50, ""slow"": 200}",4,4067,-0.5045979837718404,-0.7999999999985796,0.4853700516351119,45.31614346823514,-1.5045979837718404,-2.5045979837718404,-4.00459798377184,-2.081246895181338,-0.5065606361829011,-0.5026763990268016,2012,2055,1,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 50, ""slow"": 200}",12,4067,-1.6747725596262477,-0.5000000000010552,0.49495942955495453,65.86236825610776,-2.6747725596262475,-3.6747725596262475,-5.1747725596262475,-3.6893939393939257,-2.445278330019847,-0.9203892944039012,2012,2055,1,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 50, ""slow"": 200}",24,4066,-0.9766601082144675,-0.2500000000005276,0.4985243482538121,86.91967763633558,-1.9766601082144675,-2.9766601082144675,-4.4766601082144675,-3.573944361649287,-1.5089010442565984,-0.45581508515815344,2011,2055,3,9
F3_trend_pullback,H1,GBPUSD,"{""fast"": 50, ""slow"": 200}",48,4063,-0.6794979079498045,1.80000000000069,0.5079990155057839,120.86761261384251,-1.6794979079498045,-2.6794979079498047,-4.179497907949805,-4.132347090999516,-2.396565455450487,0.9999513145082612,2009,2054,3,9
F5_vol_compress_breakout,H1,GBPUSD,"{""lookback"": 20, ""ratio"": 0.75}",4,35,-0.4799999999999095,3.4000000000000696,0.6,37.43266739407281,-1.4799999999999094,-2.4799999999999094,-3.9799999999999094,-2.732352941176346,-2.5727272727272723,3.061538461538707,22,13,4,7
F5_vol_compress_breakout,H1,GBPUSD,"{""lookback"": 20, ""ratio"": 0.75}",12,35,1.3342857142857012,4.3999999999999595,0.5142857142857142,64.47893838920022,0.3342857142857012,-0.6657142857142988,-2.165714285714299,-3.261764705882364,-15.9863636363637,30.64615384615392,22,13,5,7
F5_vol_compress_breakout,H1,GBPUSD,"{""lookback"": 20, ""ratio"": 0.75}",24,35,7.677142857142781,6.200000000000649,0.5142857142857142,69.4697864318779,6.677142857142781,5.677142857142781,4.177142857142781,0.5705882352940677,-4.581818181818222,28.423076923076785,22,13,4,7
F5_vol_compress_breakout,H1,GBPUSD,"{""lookback"": 20, ""ratio"": 0.75}",48,35,9.22285714285704,-2.500000000000835,0.4857142857142857,104.31689301387001,8.22285714285704,7.222857142857039,5.722857142857039,2.952941176470471,-13.518181818181864,47.70769230769211,22,13,4,7
F5_vol_compress_breakout,H1,GBPUSD,"{""lookback"": 20, ""ratio"": 0.85}",4,322,-2.6124223602483836,-2.349999999999852,0.4658385093167702,37.19045494024215,-3.6124223602483836,-4.612422360248384,-6.112422360248384,-4.042138364779815,-1.2957575757575197,-3.996178343948975,165,157,3,9
