status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,-1,2013-12-16 10:30:00,2013-12-16 18:15:00,1,1387211401229000000,False,1387211407030000000,1.37593,1.37593,1.37613,1.3754300000000002,2.0,STOP,1387211487301000000,1.37614,-2.1,-1.05,False
TRADE,-1,2014-01-14 11:45:00,2014-01-14 14:30:00,1,1389703502707000000,False,1389703508248000000,1.3672,1.3672,1.36768,1.3659999999999999,4.8,TARGET,1389706204765000000,1.3659999999999999,12.0,2.5,True
TRADE,-1,2014-01-14 15:30:00,2014-01-15 02:30:00,1,1389746723131000000,False,1389746732625000000,1.36708,1.36708,1.3674899999999999,1.3660550000000007,4.1,TARGET,1389749335490000000,1.3660550000000007,10.25,2.5,True
INVALID_LEVELS,,2014-01-16 08:30:00,2014-01-16 10:30:00,-1,1389861905042000000,,,,,,,,,,,,,
TRADE,1,2014-01-21 09:00:00,2014-01-21 17:15:00,-1,1390318204457000000,False,1390318209875000000,1.3536,1.3536,1.35334,1.3542499999999997,2.6,STOP,1390318480408000000,1.35368,0.8,0.30769,True
TRADE,1,2014-01-22 09:00:00,2014-01-22 13:30:00,-1,1390391100213000000,False,1390391107018000000,1.35594,1.35594,1.35471,1.3590149999999994,12.3,STOP,1390400938146000000,1.35603,0.9,0.07317,True
TRADE,1,2014-01-28 16:45:00,2014-01-29 09:30:00,-1,1390981501006000000,False,1390981507842000000,1.36654,1.36654,1.36577,1.3684650000000005,7.7,STOP,1390996800306000000,1.36606,-4.8,-0.62338,True
SKIP_DAILY,,2014-02-04 15:15:00,2014-02-05 14:00:00,-1,1391602500013000000,,,,,,,,,,,,,
SKIP_DAILY,,2014-02-05 11:15:00,2014-02-05 14:00:00,-1,1391602500013000000,,,,,,,,,,,,,
TRADE,-1,2014-02-12 11:30:00,2014-02-12 11:45:00,1,1392199200652000000,False,1392199205696000000,1.36431,1.36431,1.36545,1.3614599999999997,11.4,TARGET,1392204912839000000,1.3614599999999997,28.5,2.5,True
