entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
7136,2021,10.95597665986118,0.1145570577668526,1.255084451116006,0.2510168902232012,0.019918978342668738,0.01,0.039837956685337475,0.03,-1.0821469438956428
7178,2021,11.05792706933225,0.11528020019716387,1.2747600463182593,0.25495200926365186,0.019611534007678216,0.01,0.03922306801535643,0.03,4.529592122172477
7251,2021,13.354972835646889,0.11338538343155287,1.5142587156877954,0.3028517431375591,0.016509728318548713,0.01,0.033019456637097426,0.03,-1.0673906275269915
7273,2021,10.74497981722757,0.1126382262138647,1.2102954673162896,0.2420590934632579,0.020656113052654017,0.02,0.041312226105308034,0.04,-1.0837600456501306
7307,2021,8.070997620228571,0.11289357844465837,0.9111638029659253,0.18223276059318505,0.027437437613986215,0.02,0.05487487522797243,0.05,-1.1115103785614204
7328,2021,8.29602220442853,0.11230915496896147,0.9317192433831092,0.18634384867662182,0.02683211726874291,0.02,0.05366423453748582,0.05,11.09700925859983
7381,2021,11.15670168215832,0.10909734936655288,1.2171665811968344,0.2434333162393669,0.02053950575558656,0.02,0.04107901151117312,0.04,1.2037541016616764
7471,2021,11.1907990401973,0.10956363836460685,1.2261046590511664,0.24522093181023327,0.02038977652963696,0.02,0.04077955305927392,0.04,1.1951633164415514
7553,2021,9.18009412334403,0.10894328292629343,1.0001095913694724,0.20002191827389448,0.024997260515986996,0.02,0.04999452103197399,0.04,-1.098038210491958
7670,2021,11.128456919105869,0.10859824068462712,1.2085308429495631,0.24170616858991265,0.020686273871988677,0.02,0.041372547743977355,0.04,-1.08087374615744
7682,2021,9.23958343616096,0.10847940061150847,1.0023044730547628,0.20046089461095254,0.024942520633282735,0.02,0.04988504126656547,0.04,6.764569454538565
7752,2021,8.26223831160127,0.1071280314616561,0.8851173257889211,0.17702346515778422,0.028244843109038735,0.02,0.05648968621807747,0.05,8.405282326516481
7957,2021,12.478364795787911,0.10818148688046647,1.3499280574452046,0.26998561148904093,0.018519505437433123,0.01,0.037039010874866246,0.03,-1.073858652098646
8072,2021,9.843856560581768,0.110097196192996,1.0837810070460818,0.21675620140921636,0.02306739077125847,0.02,0.04613478154251694,0.04,-1.0914275817065382
8221,2021,11.516285709242199,0.11180576771744664,1.2875871649752837,0.25751743299505675,0.019416161235561783,0.01,0.038832322471123566,0.03,-1.0781501972704968
8233,2021,9.76508951926813,0.11150707190073489,1.088876539142144,0.2177753078284288,0.02295944407039562,0.02,0.04591888814079124,0.04,5.913994853253091
8294,2021,14.15618371782886,0.11113742118450398,1.5732817522135634,0.3146563504427127,0.01589035146745057,0.01,0.03178070293490114,0.03,-1.7872048360135473
8319,2021,13.59268195215664,0.1100803058573885,1.4962865867156074,0.2992573173431215,0.016708029211753964,0.01,0.03341605842350793,0.03,0.42435604512413083
8509,2021,12.552407081033428,0.11118973945841039,1.3956988729160125,0.2791397745832025,0.017912173238177,0.01,0.035824346476354,0.03,3.1360692571412607
8628,2021,9.77659597038684,0.11196881449208895,1.0946738605723485,0.21893477211446968,0.022837852350771206,0.02,0.04567570470154241,0.04,-1.779760568269872
8725,2021,10.33686126115989,0.11250022953047245,1.1628992645051364,0.23257985290102726,0.021497992786708466,0.02,0.04299598557341693,0.04,-1.0870670484262166
8752,2021,9.27432751779036,0.11187379112467803,1.0375541795471324,0.20751083590942648,0.024095127264498035,0.02,0.04819025452899607,0.04,7.737896515562675
8862,2021,8.10238873228246,0.11128567783326651,0.9016798221406745,0.1803359644281349,0.027726028004760712,0.02,0.055452056009521425,0.05,-1.111078353524871
8893,2021,8.84218200448356,0.11043797344184272,0.976512661379095,0.195302532275819,0.02560130655622362,0.02,0.05120261311244724,0.05,1.2884532732382683
8991,2021,10.49591472525206,0.11116422485358246,1.1667702245619471,0.23335404491238942,0.021426669513601972,0.02,0.042853339027203945,0.04,-1.0857476478761918
9039,2021,10.22176336333489,0.11031790143142203,1.1276434831716995,0.2255286966343399,0.022170127680499706,0.02,0.04434025536099941,0.04,-1.0880474305664154
9062,2021,8.69825768810478,0.11019875618271749,0.9585371781859066,0.19170743563718132,0.026081408805983003,0.02,0.052162817611966006,0.05,0.3908508135417138
9115,2021,11.17010652582553,0.10869278328150987,1.2141099678429335,0.2428219935685867,0.0205912155094292,0.02,0.0411824310188584,0.04,-0.478537869740054
9193,2021,10.98795934826173,0.10790394517368918,1.1856441630855592,0.23712883261711185,0.021085584341712763,0.02,0.042171168683425526,0.04,4.383699644659236
9241,2021,9.84212751070068,0.10750889840054065,1.0581162865930853,0.21162325731861706,0.02362689273075534,0.02,0.04725378546151068,0.04,-1.09144364356394
9327,2021,10.93949329087015,0.10689030979827088,1.1693258268972162,0.2338651653794432,0.0213798407808515,0.02,0.042759681561703,0.04,3.873610801009404
9512,2021,9.76336841087418,0.10788068161174293,1.053278838991666,0.21065576779833323,0.023735405169568596,0.02,0.04747081033913719,0.04,3.806856482449111
9649,2021,11.59856586479944,0.1071401280838367,1.2426718323434283,0.24853436646868565,0.020117942122221476,0.02,0.04023588424444295,0.04,-1.0775958002473403
9680,2021,8.41273407609363,0.10658381832499117,0.8966613203828259,0.17933226407656516,0.0278812071310563,0.02,0.0557624142621126,0.05,0.08870355053789135
9879,2021,15.25444556700335,0.10823098292941477,1.6510036377600263,0.3302007275520053,0.015142304612919183,0.01,0.030284609225838366,0.03,-0.9393946283456975
9913,2021,8.84905073723372,0.10764701063955656,0.952573858860974,0.19051477177219478,0.026244684091891183,0.02,0.052489368183782366,0.05,-1.1017058243562283
9961,2021,8.26074222274743,0.1063805682693615,0.87878245198258,0.175756490396516,0.028448451540649986,0.02,0.05689690308129997,0.05,2.6830563743816174
10095,2021,12.524700033691518,0.10689567081793712,1.3388362118948944,0.26776724237897886,0.018672933834540342,0.01,0.037345867669080685,0.03,1.143753737875887
10130,2021,10.41893310490618,0.10608987743985474,1.1053433361535419,0.22106866723070837,0.022617406901820125,0.02,0.04523481380364025,0.04,-1.0863812053439201
10177,2021,8.48670624889349,0.10651985907928156,0.9040027536793929,0.18080055073587858,0.02765478301724988,0.02,0.05530956603449976,0.05,-0.6534024904170311
10236,2021,8.85058599636613,0.1067147351384772,0.9444879404225269,0.18889758808450538,0.026469369200009033,0.02,0.052938738400018066,0.05,0.5954171692797213
10286,2021,9.7655943022282,0.10707213064074704,1.0456229889127127,0.20912459778254253,0.023909191233444628,0.02,0.047818382466889256,0.04,-2.068486502187663
10336,2021,11.51623071011897,0.10733863194078172,1.2361364495385874,0.24722728990771747,0.020224304533153884,0.02,0.04044860906630777,0.04,-1.0781505704995054
10345,2021,9.082551074024089,0.10710506973494371,0.9727872661545379,0.1945574532309076,0.025699349559565963,0.02,0.051398699119131926,0.05,-1.0990911025619696
10447,2021,6.30182199409406,0.10801532274207931,0.6806933365552037,0.13613866731104074,0.036727258307710085,0.03,0.07345451661542017,0.07,4.475867998408592
10542,2021,6.30232487068582,0.1071139891196745,0.6750671576272949,0.13501343152545897,0.0370333524858019,0.03,0.0740667049716038,0.07,-1.1428044441482086
10572,2021,6.120881063036,0.10748480104845462,0.6579016833016779,0.13158033666033558,0.03799959877673145,0.03,0.0759991975534629,0.07,-4.166066900726761
10622,2021,10.72159558859367,0.10721073174290509,1.1494701085046306,0.22989402170092613,0.021749151904892086,0.02,0.04349830380978417,0.04,1.6372872697397192
10723,2021,11.25977010894855,0.10646959690275563,1.1988231847174489,0.23976463694348976,0.020853784209964425,0.02,0.04170756841992885,0.04,-1.07993058395434
