entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
7553,109.251,109.15919905876656,0.09180094123344038,2021-03-17,7552,7554,109.15919905876656,stop,-9.180094123344418,-10.080094123344418,2021
7670,108.888,108.77671543080895,0.11128456919105871,2021-03-24,7669,7672,108.77671543080895,stop,-11.128456919105645,-12.028456919105645,2021
7682,108.928,108.83560416563839,0.09239583436160966,2021-03-25,7681,7730,109.56201803884915,stop,63.4018038849149,62.5018038849149,2021
7752,109.846,109.76337761688399,0.08262238311601273,2021-03-30,7751,7784,110.5494644565797,stop,70.34644565796953,69.44644565796952,2021
7957,109.885,109.76021635204212,0.12478364795787915,2021-04-09,7956,7958,109.76,stop,-12.5,-13.4,2021
8072,108.901,108.80256143439418,0.09843856560581778,2021-04-16,8071,8073,108.80256143439418,stop,-9.843856560581798,-10.743856560581799,2021
8221,108.082,107.96683714290756,0.11516285709242204,2021-04-26,8220,8222,107.96683714290756,stop,-11.51628570924288,-12.41628570924288,2021
8233,108.14,108.04234910480731,0.09765089519268132,2021-04-27,8232,8270,108.72650689158507,stop,58.65068915850742,57.75068915850742,2021
8294,109.201,109.0594381628217,0.14156183717828866,2021-04-29,8293,8295,108.957,stop,-24.399999999999977,-25.299999999999976,2021
8319,109.294,109.15807318047843,0.13592681952156646,2021-04-30,8318,8340,109.36068136755847,stop,6.668136755847343,5.768136755847342,2021
8509,109.008,108.88247592918967,0.1255240708103343,2021-05-12,8508,8539,109.41065217949951,stop,40.26521794995119,39.365217949951194,2021
8628,109.191,109.09323404029614,0.09776595970386841,2021-05-19,8627,8629,109.026,stop,-16.500000000000625,-17.400000000000624,2021
8725,108.986,108.8826313873884,0.10336861261159895,2021-05-25,8724,8726,108.8826313873884,stop,-10.33686126116038,-11.23686126116038,2021
8752,109.11,109.01725672482209,0.09274327517790368,2021-05-26,8751,8799,109.83663786584097,stop,72.66378658409707,71.76378658409706,2021
8862,109.723,109.64197611267717,0.08102388732282466,2021-06-02,8861,8869,109.64197611267717,stop,-8.102388732282861,-9.002388732282862,2021
