mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2014-12-22 14:45:00,2014-12-22 21:45:00,-1,0,0.46,1.2257,1.22722,1.2219000000000002,0.0015199999999999658,1.2219000000000002,tp,174.79999999999097,2.4999999999999267,7178.835000000049,False
historical,2014-12-23 10:00:00,2014-12-23 10:30:00,-1,0,0.44,1.2225,1.22413,1.2184249999999999,0.0016300000000000203,1.22413,sl,-71.7200000000009,-1.0,7107.115000000048,False
historical,2014-12-29 09:45:00,2014-12-29 11:15:00,-1,0,0.36,1.21739,1.21932,1.2125650000000001,0.0019299999999999873,1.21932,sl,-69.47999999999954,-1.0,7037.635000000048,False
historical,2015-01-13 09:15:00,2015-01-13 10:30:00,1,0,0.44,1.18382,1.1822300000000001,1.187795,0.0015899999999999803,1.1822300000000001,sl,-69.95999999999913,-1.0,6967.675000000049,False
historical,2015-01-15 10:15:00,2015-01-15 11:30:00,-1,0,0.15,1.17647,1.17875,1.1707699999999996,0.0022800000000000598,1.1707699999999996,tp,85.5000000000039,2.5000000000000484,7053.175000000053,False
historical,2015-01-15 10:45:00,2015-01-15 11:30:00,-1,0,0.17,1.17587,1.1779,1.170795,0.0020299999999999763,1.170795,tp,86.274999999999,2.5,7139.450000000052,False
historical,2015-01-20 10:15:00,2015-01-20 11:30:00,-1,0,0.4,1.15765,1.15941,1.15325,0.0017599999999999838,1.15941,sl,-70.39999999999935,-1.0,7069.050000000052,False
historical,2015-01-21 09:15:00,2015-01-21 14:45:00,-1,0,0.39,1.15688,1.15869,1.1523549999999996,0.0018100000000000893,1.15869,sl,-70.59000000000349,-1.0,6998.460000000048,False
historical,2015-02-02 10:30:00,2015-02-02 13:15:00,1,0,0.37,1.13233,1.1304400000000001,1.137055,0.0018899999999999473,1.13243,sl,3.6999999999995925,0.05291005291004856,7002.160000000048,True
historical,2015-02-03 09:00:00,2015-02-03 10:00:00,1,0,0.46,1.13386,1.13236,1.1376100000000002,0.0015000000000000568,1.13236,sl,-69.00000000000261,-1.0,6933.160000000045,False
historical,2015-02-10 10:30:00,2015-02-10 13:45:00,-1,0,0.38,1.13188,1.13368,1.12738,0.0018000000000000238,1.12738,tp,170.99999999999804,2.4999999999999383,7104.1600000000435,True
historical,2015-02-17 08:45:00,2015-02-17 11:00:00,-1,0,0.4,1.13504,1.13678,1.1306900000000004,0.0017399999999998528,1.13678,sl,-69.59999999999411,-1.0,7034.5600000000495,False
