entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
8991,9006,109.49904085274748,stop,8990,109.604,-9.595914725251475,-10.495914725251476,-0.9999999999999439,10.495914725252064
9039,9043,109.66878236636666,stop,9038,109.771,-9.321763363334412,-10.221763363334412,-0.999999999999953,10.221763363334892
9062,9103,109.98492007331775,stop,9061,109.921,7.292007331774641,6.392007331774641,0.7348606538198985,8.698257688104784
9115,9115,110.40229893474174,stop,9114,110.514,-10.270106525825895,-11.170106525825895,-1.0000000000000329,11.17010652582553
9121,9122,110.64283189772941,stop,9120,110.759,-10.71681022705917,-11.61681022705917,-0.9999999999999609,11.616810227059625
9193,9227,110.82703906835928,stop,9192,110.269,56.70390683592785,55.803906835927855,5.078641544551754,10.987959348261732
9241,9245,110.929578724893,stop,9240,111.028,-8.942127510700004,-9.842127510700005,-0.9999999999999315,9.84212751070068
9327,9368,111.43611903935937,stop,9326,110.981,46.41190393593746,45.51190393593746,4.16033016574183,10.939493290870153
9512,9558,110.44119107119744,stop,9511,110.057,39.319107119743535,38.419107119743536,3.935025854084677,9.763368410874183
9649,9654,109.851014341352,stop,9648,109.967,-10.698565864800003,-11.598565864800003,-1.000000000000048,11.598565864799447
9680,9697,110.3718056548861,stop,9679,110.346,3.4805654886099546,2.5805654886099547,0.3067451633759727,8.412734076093635
9879,9898,109.44427401965025,stop,9878,109.572,-11.872598034975113,-12.772598034975113,-0.8373033276675305,15.25444556700335
9913,9918,109.78350949262766,stop,9912,109.872,-7.949050737234131,-8.849050737234132,-1.0000000000000464,8.849050737233721
9961,9996,110.61776655314625,stop,9960,110.334,29.27665531462509,28.37665531462509,3.435121754130627,8.260742222747432
10095,10125,109.7542517247931,stop,10094,109.602,16.125172479308958,15.225172479308958,1.215611746257647,12.524700033691518
10130,10134,110.01181066895094,stop,10129,110.116,-9.518933104905614,-10.418933104905614,-0.9999999999999453,10.418933104906184
10177,10189,109.87335900770884,stop,10176,109.875,0.7359007708842569,-0.16409922911574315,-0.019336032649549834,8.48670624889349
10236,10276,109.96390544003532,stop,10235,109.895,7.790544003532318,6.890544003532318,0.7785409922418054,8.850585996366133
10286,10286,110.07734405697772,stop,10285,110.175,-8.865594302227464,-9.765594302227464,-0.999999999999924,9.765594302228207
10336,10337,109.94483769289882,stop,10335,110.06,-10.616230710118657,-11.516230710118657,-0.9999999999999727,11.516230710118972
10345,10356,110.1544453760154,stop,10344,110.191,-2.7554623984599402,-3.65546239845994,-0.4024708882633741,9.082551074024094
10447,10471,110.25537363656188,stop,10446,109.928,33.63736365618877,32.73736365618877,5.194904535048677,6.301821994094069
10542,10549,109.97997675129315,stop,10541,110.043,-5.402324870685504,-6.302324870685505,-0.99999999999995,6.30232487068582
10572,10572,110.06079118936964,stop,10571,110.122,-5.220881063036131,-6.120881063036132,-1.000000000000021,6.120881063036002
10622,10658,109.8657389596608,stop,10621,109.677,19.773895966079635,18.873895966079637,1.7603626074237413,10.72159558859367
10723,10723,109.75240229891051,stop,10722,109.865,-10.359770108948396,-11.259770108948397,-0.9999999999999863,11.259770108948551
10730,10731,109.79723274730556,stop,10729,109.893,-8.676725269444319,-9.576725269444319,-1.000000000000004,9.576725269444282
10753,10760,110.3193989821617,stop,10752,110.378,-4.960101783829884,-5.860101783829885,-0.6864381474973509,8.536969871495232
10777,10777,110.66480652583829,stop,10776,110.745,-7.119347416171706,-8.019347416171707,-1.0000000000000333,8.019347416171438
10802,10814,111.26291948145553,stop,10801,111.1,17.191948145553226,16.291948145553228,1.77460476937606,9.18060653656497
10825,10826,111.53447621154776,stop,10824,111.658,-11.452378845224587,-12.352378845224587,-0.999999999999986,12.352378845224761
10856,10861,111.76415543456733,stop,10855,111.879,-10.584456543267606,-11.484456543267607,-1.0000000000000078,11.484456543267516
10932,10953,111.45566023669676,stop,10931,111.227,23.766023669675462,22.866023669675464,2.16096817284647,10.581379197064196
10993,11003,111.72667830033939,stop,10992,111.726,0.9678300339388102,0.06783003393881015,0.007631977495049656,8.887609270704333
11017,11046,113.13166580954427,stop,11016,112.307,83.36658095442715,82.46658095442714,8.48337644036609,9.72096211150432
11077,11077,113.5490343218834,stop,11076,113.67,-11.19656781166043,-12.09656781166043,-1.0000000000000062,12.096567811660355
11112,11126,114.05890364316123,stop,11111,113.84,22.79036431612269,21.890364316122692,1.8316962557890093,11.950870264072984
11184,11185,114.4520221749208,stop,11183,114.553,-9.197782507919783,-10.097782507919783,-1.0000000000000315,10.097782507919463
11283,11307,114.00269497445,stop,11282,113.931,8.06949744499974,7.16949744499974,0.6569903237111682,10.912637806446076
11364,11364,113.75519695167463,stop,11363,113.876,-11.180304832537047,-12.080304832537047,-0.9999999999999823,12.08030483253726
11377,11393,114.07644360943645,stop,11376,114.077,0.8443609436454835,-0.05563905635451649,-0.004784032151393296,11.630159370545249
11439,11439,113.97559472203524,stop,11438,114.081,-9.640527796476306,-10.540527796476306,-0.9999999999999419,10.540527796476919
11450,11456,114.09910026784766,stop,11449,114.218,-10.989973215234272,-11.889973215234273,-1.0000000000000555,11.889973215233614
11557,11581,113.81119366182199,stop,11556,113.276,54.41936618219927,53.51936618219927,4.649937460672232,11.509695912009551
11593,11599,114.15590864577524,stop,11592,114.256,-9.109135422475845,-10.009135422475845,-1.000000000000041,10.009135422475433
11642,11642,114.20073546398943,stop,11641,114.3,-9.026453601056517,-9.926453601056517,-1.000000000000027,9.926453601056249
11722,11722,113.87726895163361,stop,11721,114.013,-12.673104836639482,-13.573104836639482,-1.0000000000000173,13.573104836639246
11751,11767,114.7675549566323,stop,11750,114.617,15.955495663229158,15.055495663229157,0.974286982550012,15.452834670770457
11785,11786,115.06343768842463,stop,11784,115.207,-13.456231157536536,-14.356231157536536,-1.000000000000038,14.356231157535992
11959,11965,113.2033584668755,stop,11958,113.354,-14.164153312449912,-15.064153312449912,-0.9999999999999692,15.064153312450376
12002,12024,113.44406834910045,stop,12001,113.56400000000001,-11.093165089955903,-11.993165089955903,-1.0000000000000064,11.993165089955827
12036,12054,113.59695204418469,stop,12035,113.706,-10.004795581531312,-10.904795581531312,-0.6845958246245198,15.928808194984631
12128,12129,113.62450598358551,stop,12127,113.72,-8.649401641449117,-9.549401641449117,-0.9999999999999709,9.549401641449395
12145,12145,113.67989655032488,stop,12144,113.763,-7.410344967512117,-8.310344967512117,-0.9999999999999146,8.310344967512826
12246,12247,113.63631503284117,stop,12245,113.737,-9.168496715882668,-10.068496715882668,-0.9999999999999396,10.068496715883276
12273,12275,114.21121308972164,stop,12272,114.306,-8.578691027835816,-9.478691027835817,-0.999999999999967,9.47869102783613
12301,12301,114.29115657346776,stop,12300,114.368,-6.7843426532235185,-7.684342653223519,-0.9999999999999619,7.684342653223812
12313,12333,114.29697739516098,stop,12312,114.37,-6.402260483902467,-7.302260483902467,-0.9324159555914907,7.831548184168706
12345,12373,114.73696730291836,stop,12344,114.636,10.996730291836343,10.096730291836343,1.5406597241089632,6.553510897856281
12393,12395,114.92691859037627,stop,12392,114.995,-5.908140962372954,-6.8081409623729545,-1.0000000000000628,6.808140962372527
12410,12441,115.02315063451816,stop,12409,115.039,-0.6849365481841119,-1.5849365481841118,-0.19197464650628476,8.255968051136508
12457,12457,115.21212653522853,stop,12456,115.287,-6.5873464771470935,-7.487346477147094,-0.9999999999999402,7.487346477147542
12481,12505,116.00939873129335,stop,12480,115.397,62.13987312933398,61.23987312933398,6.920862884983283,8.848589279555117
12697,12729,114.62034461203172,stop,12696,114.338,29.13446120317218,28.23446120317218,2.013378275324779,14.02342597474271
12840,12841,113.88886151018589,stop,12839,114.021,-12.313848981411013,-13.213848981411013,-1.0000000000000058,13.213848981410939
12850,12853,113.92608144522974,stop,12849,114.062,-12.691855477025626,-13.591855477025627,-1.0000000000000495,13.591855477024955
