date,side,entry,stop,target,exit,reason,risk_pips,gross_pips,net_normal_pips,net_stress_pips,year
2015-06-11,SHORT,1.1284,1.12805,1.13035,1.12805,STOP,3.5000000000007248,-3.5000000000007248,-5.500000000000725,-7.500000000000725,2015
2015-06-12,SHORT,1.12222,1.12186,1.1244299999999998,1.12186,STOP,3.5999999999991594,-3.5999999999991594,-5.599999999999159,-7.599999999999159,2015
2015-06-17,LONG,1.12667,1.1278,1.125275,1.1278,STOP,11.299999999998533,-11.299999999998533,-13.299999999998533,-15.299999999998533,2015
2015-06-18,LONG,1.13718,1.13802,1.1357149999999998,1.13802,STOP,8.399999999999519,-8.399999999999519,-10.399999999999519,-12.399999999999519,2015
2015-06-26,LONG,1.12045,1.12197,1.1193,1.1193,TARGET,15.199999999999658,11.499999999999844,9.499999999999844,7.499999999999844,2015
2015-06-30,SHORT,1.11915,1.1155,1.120275,1.1155,STOP,36.50000000000153,-36.50000000000153,-38.50000000000153,-40.50000000000153,2015
2015-07-02,LONG,1.10761,1.1085,1.1054650000000001,1.1054650000000001,TARGET,8.900000000000574,21.449999999998415,19.449999999998415,17.449999999998415,2015
2015-07-03,LONG,1.10974,1.11052,1.1090550000000001,1.11052,STOP,7.800000000000029,-7.800000000000029,-9.80000000000003,-11.80000000000003,2015
2015-07-06,LONG,1.10808,1.10954,1.10408,1.10408,TARGET,14.600000000000168,40.000000000000036,38.000000000000036,36.000000000000036,2015
2015-07-07,SHORT,1.10288,1.10185,1.104085,1.10185,STOP,10.300000000000864,-10.300000000000864,-12.300000000000864,-14.300000000000864,2015
2015-07-13,LONG,1.11464,1.11868,1.113095,1.113095,TARGET,40.399999999998215,15.450000000001296,13.450000000001296,11.450000000001296,2015
2015-07-15,LONG,1.10114,1.10216,1.09997,1.10216,STOP,10.200000000000209,-10.200000000000209,-12.200000000000209,-14.200000000000209,2015
2015-07-16,SHORT,1.09141,1.08963,1.09367,1.08963,STOP,17.799999999998928,-17.799999999998928,-19.799999999998928,-21.799999999998928,2015
2015-07-17,LONG,1.09002,1.09069,1.088955,1.088955,TARGET,6.699999999999484,10.650000000000936,8.650000000000936,6.6500000000009365,2015
2015-07-28,SHORT,1.10741,1.10522,1.10856,1.10522,STOP,21.899999999999142,-21.899999999999142,-23.899999999999142,-25.899999999999142,2015
2015-07-30,SHORT,1.09606,1.09461,1.097415,1.097415,TARGET,14.499999999999513,13.549999999999951,11.549999999999951,9.549999999999951,2015
2015-07-31,LONG,1.09464,1.09569,1.093985,1.093985,TARGET,10.499999999999954,6.550000000000722,4.550000000000722,2.550000000000722,2015
2015-08-03,LONG,1.09833,1.09956,1.09769,1.09769,TARGET,12.300000000000644,6.399999999999739,4.399999999999739,2.3999999999997392,2015
2015-08-04,LONG,1.09614,1.09682,1.09478,1.09682,STOP,6.800000000000139,-6.800000000000139,-8.80000000000014,-10.80000000000014,2015
2015-08-06,SHORT,1.09054,1.09002,1.091725,1.09002,STOP,5.20000000000076,-5.20000000000076,-7.20000000000076,-9.20000000000076,2015
2015-08-07,LONG,1.09298,1.09493,1.092055,1.092055,TARGET,19.499999999998963,9.250000000000647,7.250000000000647,5.250000000000647,2015
2015-08-10,LONG,1.09693,1.0981,1.096215,1.096215,TARGET,11.700000000001154,7.150000000000212,5.150000000000212,3.1500000000002117,2015
2015-08-11,LONG,1.10312,1.10414,1.099625,1.10414,STOP,10.199999999997988,-10.199999999997988,-12.199999999997988,-14.199999999997988,2015
2015-08-14,LONG,1.11535,1.11714,1.1149149999999999,1.1149149999999999,TARGET,17.899999999999583,4.350000000001852,2.3500000000018524,0.3500000000018524,2015
2015-08-18,LONG,1.10703,1.10938,1.10667,1.10667,TARGET,23.500000000000743,3.5999999999991594,1.5999999999991594,-0.40000000000084057,2015
2015-08-19,LONG,1.10566,1.10725,1.10425,1.10425,TARGET,15.899999999999803,14.100000000001334,12.100000000001334,10.100000000001334,2015
2015-08-20,SHORT,1.11227,1.11072,1.113155,1.113155,TARGET,15.500000000001624,8.849999999998026,6.849999999998026,4.849999999998026,2015
2015-08-25,SHORT,1.15335,1.15126,1.15622,1.15622,TARGET,20.900000000001473,28.69999999999928,26.69999999999928,24.69999999999928,2015
2015-08-31,SHORT,1.12099,1.12004,1.12333,1.12004,STOP,9.500000000000064,-9.500000000000064,-11.500000000000064,-13.500000000000064,2015
2015-09-01,LONG,1.12675,1.12841,1.124825,1.12841,STOP,16.599999999999948,-16.599999999999948,-18.599999999999948,-20.599999999999948,2015
2015-09-02,SHORT,1.12652,1.12423,1.128055,1.128055,TARGET,22.899999999999032,15.350000000000641,13.350000000000641,11.350000000000641,2015
2015-09-03,LONG,1.1232,1.124,1.1219700000000001,1.124,STOP,8.00000000000134,-8.00000000000134,-10.00000000000134,-12.00000000000134,2015
2015-09-04,LONG,1.11365,1.11423,1.112765,1.11423,STOP,5.800000000000249,-5.800000000000249,-7.800000000000249,-9.80000000000025,2015
2015-09-07,SHORT,1.11423,1.11309,1.115775,1.115775,TARGET,11.400000000001409,15.449999999999076,13.449999999999076,11.449999999999076,2015
2015-09-10,SHORT,1.11951,1.11825,1.1219649999999999,1.11825,STOP,12.600000000000389,-12.600000000000389,-14.600000000000389,-16.60000000000039,2015
2015-09-11,LONG,1.12997,1.1307,1.12879,1.1307,STOP,7.300000000001194,-7.300000000001194,-9.300000000001194,-11.300000000001194,2015
2015-09-14,LONG,1.13505,1.13732,1.1343450000000002,1.1343450000000002,TARGET,22.700000000002163,7.049999999997336,5.049999999997336,3.049999999997336,2015
